winIdx,k_theory,M,Hop,N,K,wLen,Fmin_Hz,Fmax_Hz,sL,SER_DFTQ_ideal,SER_OBBQ_ideal,delta_ideal,SER_DFTQ_fir,SER_OBBQ_fir,delta_fir,blockErr_mean,blockErr_std,blockErr_max,blockErr_trend
9,8,32,8,2048,512,96,1,43,2048,40.929,43.05,-2.121,41.736,45.012,-3.275,86.6665,43.736,160.1783,0.570839
10,8,32,8,2048,512,96,1,43,2048,41.825,43.05,-1.226,42.276,45.012,-2.736,69.0252,37.3284,138.289,0.498512
11,8,32,8,2048,512,96,1,43,2048,41.454,43.05,-1.596,42.737,45.012,-2.274,56.4485,30.9741,118.4948,0.414161
12,8,32,8,2048,512,96,1,43,2048,43.225,43.05,0.175,43.717,45.012,-1.295,42.3193,23.2792,94.5076,0.308472
13,8,32,8,2048,512,96,1,43,2048,45.061,43.05,2.011,45.407,45.012,0.395,36.3212,18.9646,74.4489,0.249069
14,8,32,8,2048,512,96,1,43,2048,47.734,43.05,4.684,47.393,45.012,2.381,23.5856,12.5491,50.0622,0.165382
15,8,32,8,2048,512,96,1,43,2048,43.315,43.05,0.265,46.045,45.012,1.034,25.1366,11.7565,47.8569,0.155241
16,8,32,8,2048,512,96,1,43,2048,44.857,43.05,1.807,47.229,45.012,2.218,18.9866,9.1096,36.2278,0.121504
17,8,32,8,2048,512,96,1,43,2048,47.395,43.05,4.345,49.55,45.012,4.538,12.1322,6.9235,24.0602,0.091079
18,8,32,8,2048,512,96,1,43,2048,52.775,43.05,9.725,53.332,45.012,8.32,4.9611,2.8474,11.2463,0.037371
19,8,32,8,2048,512,96,1,43,2048,56.034,43.05,12.984,56.022,45.012,11.011,3.2826,1.7531,7.3818,0.022539
20,8,32,8,2048,512,96,1,43,2048,54.826,43.05,11.776,55.626,45.012,10.614,3.4662,1.5187,5.925,0.019699
21,8,32,8,2048,512,96,1,43,2048,54.733,43.05,11.683,56.445,45.012,11.434,2.4908,1.017,6.1216,0.012424
22,8,32,8,2048,512,96,1,43,2048,52.911,43.05,9.861,56.031,45.012,11.02,2.0605,1.016,4.546,0.0125
23,8,32,8,2048,512,96,1,43,2048,53.67,43.05,10.62,54.5,45.012,9.488,2.0957,1.4309,5.0344,0.018062
24,8,32,8,2048,512,96,1,43,2048,49.236,43.05,6.186,50.651,45.012,5.64,2.2388,1.617,15.4092,0.01697
25,8,32,8,2048,512,96,1,43,2048,52.017,43.05,8.967,52.436,45.012,7.424,7.8615,5.4359,25.9176,0.064742
26,8,32,8,2048,512,96,1,43,2048,36.093,43.05,-6.957,38.816,45.012,-6.196,25.9345,19.6934,102.85,0.248077
27,8,32,8,2048,512,96,1,43,2048,43.174,43.05,0.124,43.431,45.012,-1.581,32.1455,27.5745,283.81,0.294637
28,8,32,8,2048,512,96,1,43,2048,38.398,43.05,-4.652,38.469,45.012,-6.542,125.1339,111.2348,837.8598,1.330127
