winIdx,k_theory,M,Hop,N,K,wLen,Fmin_Hz,Fmax_Hz,sL,SER_DFTQ_ideal,SER_OBBQ_ideal,delta_ideal,SER_DFTQ_fir,SER_OBBQ_fir,delta_fir,blockErr_mean,blockErr_std,blockErr_max,blockErr_trend
9,8,32,8,2048,512,96,1,43,2048,38.837,49.845,-11.008,41.35,49.829,-8.479,70.5485,35.3578,161.211,0.457745
10,8,32,8,2048,512,96,1,43,2048,41.83,49.845,-8.015,43.998,49.829,-5.832,68.4452,35.0352,139.1872,0.459213
11,8,32,8,2048,512,96,1,43,2048,45.695,49.845,-4.151,45.627,49.829,-4.202,60.4247,29.8229,124.096,0.392407
12,8,32,8,2048,512,96,1,43,2048,47.258,49.845,-2.587,47.2,49.829,-2.629,40.3828,18.2944,81.2389,0.234527
13,8,32,8,2048,512,96,1,43,2048,43.266,49.845,-6.58,46.841,49.829,-2.988,28.7529,13.6139,58.9276,0.171848
14,8,32,8,2048,512,96,1,43,2048,42.05,49.845,-7.795,46.242,49.829,-3.587,21.4001,9.5999,43.8516,0.120136
15,8,32,8,2048,512,96,1,43,2048,50.186,49.845,0.341,50.192,49.829,0.362,17.7833,9.8128,40.015,0.127645
16,8,32,8,2048,512,96,1,43,2048,45.338,49.845,-4.507,49.832,49.829,0.003,12.6044,6.5371,26.6264,0.083608
17,8,32,8,2048,512,96,1,43,2048,53.966,49.845,4.12,54.078,49.829,4.249,8.4531,4.0066,17.3888,0.049968
18,8,32,8,2048,512,96,1,43,2048,51.815,49.845,1.97,53.479,49.829,3.649,6.2227,3.0387,12.1482,0.037513
19,8,32,8,2048,512,96,1,43,2048,49.952,49.845,0.107,52.389,49.829,2.56,6.782,4.1255,14.429,0.054696
20,8,32,8,2048,512,96,1,43,2048,56.507,49.845,6.662,56.82,49.829,6.99,3.3011,1.6136,6.876,0.019819
21,8,32,8,2048,512,96,1,43,2048,51.667,49.845,1.822,55.48,49.829,5.651,3.615,1.8956,6.5184,0.024326
22,8,32,8,2048,512,96,1,43,2048,58.269,49.845,8.424,58.357,49.829,8.528,1.8031,1.043,5.4426,0.013156
23,8,32,8,2048,512,96,1,43,2048,54.535,49.845,4.69,55.924,49.829,6.095,4.8271,2.5989,8.0334,0.0305
24,8,32,8,2048,512,96,1,43,2048,52.143,49.845,2.298,53.521,49.829,3.691,4.8815,3.2894,16.4036,0.041773
25,8,32,8,2048,512,96,1,43,2048,52.918,49.845,3.073,52.792,49.829,2.962,6.4969,4.7361,23.9286,0.059069
26,8,32,8,2048,512,96,1,43,2048,43.19,49.845,-6.655,43.589,49.829,-6.241,37.0048,22.9423,135.2002,0.296079
27,8,32,8,2048,512,96,1,43,2048,31.936,49.845,-17.909,34.154,49.829,-15.676,157.0963,115.091,563.623,1.48178
28,8,32,8,2048,512,96,1,43,2048,38.105,49.845,-11.74,38.028,49.829,-11.801,258.0625,141.0281,561.118,1.670277
