winIdx,k_theory,M,Hop,N,K,wLen,Fmin_Hz,Fmax_Hz,sL,SER_DFTQ_ideal,SER_OBBQ_ideal,delta_ideal,SER_DFTQ_fir,SER_OBBQ_fir,delta_fir,blockErr_mean,blockErr_std,blockErr_max,blockErr_trend
14,8,32,8,2048,512,96,1,43,2048,44.694,44.429,0.265,44.64,46.011,-1.371,26.9623,14.1692,57.1345,0.189459
15,8,32,8,2048,512,96,1,43,2048,45.085,44.429,0.656,45.924,46.011,-0.087,18.1536,10.1238,37.2768,0.13558
16,8,32,8,2048,512,96,1,43,2048,45.959,44.429,1.53,46.636,46.011,0.625,16.2165,8.9737,42.0403,0.116975
17,8,32,8,2048,512,96,1,43,2048,48.131,44.429,3.702,48.431,46.011,2.42,11.5937,5.8996,32.1897,0.077842
18,8,32,8,2048,512,96,1,43,2048,49.966,44.429,5.537,50.551,46.011,4.54,5.2106,3.2412,11.9228,0.0428
19,8,32,8,2048,512,96,1,43,2048,52.69,44.429,8.261,53.069,46.011,7.058,3.3154,2.1463,13.5673,0.027678
20,8,32,8,2048,512,96,1,43,2048,51.732,44.429,7.303,54.147,46.011,8.136,1.4453,1.0261,8.372,0.012393
21,8,32,8,2048,512,96,1,43,2048,49.972,44.429,5.543,52.986,46.011,6.975,0.9796,0.5733,4.2706,0.007143
22,8,32,8,2048,512,96,1,43,2048,57.519,44.429,13.09,57.535,46.011,11.524,1.2339,0.6958,3.8523,0.008548
23,8,32,8,2048,512,96,1,43,2048,54.465,44.429,10.036,56.287,46.011,10.276,0.825,0.6296,2.9708,0.008044
24,8,32,8,2048,512,96,1,43,2048,49.248,44.429,4.819,50.59,46.011,4.579,3.7721,1.6064,13.2151,0.01691
25,8,32,8,2048,512,96,1,43,2048,39.298,44.429,-5.131,41.588,46.011,-4.423,5.2078,5.5238,29.6499,0.065446
