winIdx,k_theory,M,Hop,N,K,wLen,Fmin_Hz,Fmax_Hz,sL,SER_DFTQ_ideal,SER_OBBQ_ideal,delta_ideal,SER_DFTQ_fir,SER_OBBQ_fir,delta_fir,blockErr_mean,blockErr_std,blockErr_max,blockErr_trend
9,8,32,8,2048,512,96,1,43,2048,41.504,45.548,-4.044,42.098,46.394,-4.296,74.3308,33.948,143.8755,0.442307
10,8,32,8,2048,512,96,1,43,2048,43.001,45.548,-2.547,43.18,46.394,-3.214,61.9376,30.6298,125.777,0.402199
11,8,32,8,2048,512,96,1,43,2048,42.871,45.548,-2.677,43.364,46.394,-3.03,60.1922,24.1677,102.1914,0.312723
12,8,32,8,2048,512,96,1,43,2048,44.935,45.548,-0.613,45.116,46.394,-1.278,40.7242,19.9431,79.0979,0.26194
13,8,32,8,2048,512,96,1,43,2048,46.096,45.548,0.548,46.373,46.394,-0.021,28.1981,14.4067,57.4407,0.189624
14,8,32,8,2048,512,96,1,43,2048,47.091,45.548,1.543,47.239,46.394,0.845,22.9895,12.1071,43.9514,0.158328
15,8,32,8,2048,512,96,1,43,2048,47.752,45.548,2.204,47.866,46.394,1.472,19.8651,9.3678,36.824,0.123695
16,8,32,8,2048,512,96,1,43,2048,47.346,45.548,1.798,49.562,46.394,3.168,10.8934,4.8745,31.7344,0.060966
17,8,32,8,2048,512,96,1,43,2048,51.437,45.548,5.888,51.621,46.394,5.227,7.6021,4.6372,17.1792,0.061426
18,8,32,8,2048,512,96,1,43,2048,47.638,45.548,2.09,49.772,46.394,3.378,8.9224,3.5547,18.3924,0.04524
19,8,32,8,2048,512,96,1,43,2048,52.009,45.548,6.461,54.01,46.394,7.616,3.4488,1.728,8.3541,0.022122
20,8,32,8,2048,512,96,1,43,2048,51.718,45.548,6.17,53.661,46.394,7.267,2.5495,1.3879,7.171,0.017251
21,8,32,8,2048,512,96,1,43,2048,54.969,45.548,9.421,55.845,46.394,9.451,2.028,1.2642,8.9626,0.01536
22,8,32,8,2048,512,96,1,43,2048,57.564,45.548,12.016,58.161,46.394,11.767,1.3063,0.8014,4.2688,0.009922
23,8,32,8,2048,512,96,1,43,2048,56.714,45.548,11.165,56.671,46.394,10.277,1.5943,1.4516,12.5275,0.016152
24,8,32,8,2048,512,96,1,43,2048,50.466,45.548,4.918,52.369,46.394,5.975,1.5876,1.1871,5.9741,0.014779
25,8,32,8,2048,512,96,1,43,2048,44.472,45.548,-1.077,46.654,46.394,0.26,17.3609,12.3917,81.9834,0.140469
26,8,32,8,2048,512,96,1,43,2048,31.087,45.548,-14.461,34.854,46.394,-11.54,15.5436,13.5153,81.2386,0.155775
27,8,32,8,2048,512,96,1,43,2048,38.281,45.548,-7.267,39.348,46.394,-7.046,92.9358,48.0884,230.7011,0.608411
28,8,32,8,2048,512,96,1,43,2048,34.313,45.548,-11.235,35.848,46.394,-10.546,125.1526,107.6723,429.2243,1.386942
