winIdx,k_theory,M,Hop,N,K,wLen,Fmin_Hz,Fmax_Hz,sL,SER_DFTQ_ideal,SER_OBBQ_ideal,delta_ideal,SER_DFTQ_fir,SER_OBBQ_fir,delta_fir,blockErr_mean,blockErr_std,blockErr_max,blockErr_trend
9,8,32,8,2048,512,96,1,43,2048,38.512,47.143,-8.631,39.815,47.011,-7.196,89.2763,49.4282,195.517,0.659554
10,8,32,8,2048,512,96,1,43,2048,40.617,47.143,-6.526,41.095,47.011,-5.915,54.9973,35.5231,140.6934,0.466915
11,8,32,8,2048,512,96,1,43,2048,42.187,47.143,-4.955,42.196,47.011,-4.815,61.4594,32.761,119.4353,0.4389
12,8,32,8,2048,512,96,1,43,2048,42.6,47.143,-4.543,44.049,47.011,-2.962,39.2509,19.9111,81.783,0.262496
13,8,32,8,2048,512,96,1,43,2048,44.211,47.143,-2.932,44.464,47.011,-2.547,31.9612,19.0348,71.6108,0.254517
14,8,32,8,2048,512,96,1,43,2048,42.248,47.143,-4.895,44.517,47.011,-2.493,23.5142,14.9547,53.7862,0.198376
15,8,32,8,2048,512,96,1,43,2048,46.519,47.143,-0.624,46.655,47.011,-0.356,19.9714,10.9496,42.5963,0.146387
16,8,32,8,2048,512,96,1,43,2048,43.7,47.143,-3.443,46.684,47.011,-0.326,13.4009,7.0103,28.5767,0.092646
17,8,32,8,2048,512,96,1,43,2048,46.428,47.143,-0.715,48.958,47.011,1.948,10.9007,6.1067,23.5706,0.080934
18,8,32,8,2048,512,96,1,43,2048,49.801,47.143,2.658,50.577,47.011,3.566,8.2586,4.0723,15.6693,0.053256
19,8,32,8,2048,512,96,1,43,2048,51.997,47.143,4.855,52.558,47.011,5.547,4.519,2.8808,10.6574,0.038433
20,8,32,8,2048,512,96,1,43,2048,51.498,47.143,4.355,54.039,47.011,7.028,3.0102,1.6428,6.088,0.021723
21,8,32,8,2048,512,96,1,43,2048,56.747,47.143,9.604,56.437,47.011,9.426,1.4467,0.6972,4.1661,0.008271
22,8,32,8,2048,512,96,1,43,2048,55.158,47.143,8.016,56.868,47.011,9.857,1.5624,0.6693,3.0186,0.00793
23,8,32,8,2048,512,96,1,43,2048,56.058,47.143,8.915,58.428,47.011,11.417,0.9824,0.5128,3.6696,0.005929
24,8,32,8,2048,512,96,1,43,2048,50.237,47.143,3.094,51.544,47.011,4.533,3.8685,2.1707,6.4046,0.02746
25,8,32,8,2048,512,96,1,43,2048,45.133,47.143,-2.01,46.092,47.011,-0.919,9.0096,6.1817,41.0162,0.066316
26,8,32,8,2048,512,96,1,43,2048,43.195,47.143,-3.948,43.641,47.011,-3.37,44.7425,20.9769,120.7299,0.232495
27,8,32,8,2048,512,96,1,43,2048,30.746,47.143,-16.396,34.2,47.011,-12.811,58.7698,41.4592,195.0493,0.538306
28,8,32,8,2048,512,96,1,43,2048,28.426,47.143,-18.717,31.545,47.011,-15.466,161.3298,116.1431,495.0628,1.522421
