winIdx,k_theory,M,Hop,N,K,wLen,Fmin_Hz,Fmax_Hz,sL,SER_DFTQ_ideal,SER_OBBQ_ideal,delta_ideal,SER_DFTQ_fir,SER_OBBQ_fir,delta_fir,blockErr_mean,blockErr_std,blockErr_max,blockErr_trend
14,8,32,8,2048,512,96,1,43,2048,44.346,50.436,-6.091,47.537,50.256,-2.718,17.7412,10.4441,43.6302,0.135359
15,8,32,8,2048,512,96,1,43,2048,43.784,50.436,-6.652,47.678,50.256,-2.577,15.7485,9.6376,34.8655,0.127058
16,8,32,8,2048,512,96,1,43,2048,41.171,50.436,-9.266,46.778,50.256,-3.478,10.1191,6.095,24.0346,0.080593
17,8,32,8,2048,512,96,1,43,2048,42.946,50.436,-7.491,47.29,50.256,-2.966,9.3493,6.1326,21.9541,0.082397
18,8,32,8,2048,512,96,1,43,2048,52.446,50.436,2.009,53.226,50.256,2.971,6.6948,4.3443,14.5583,0.058089
19,8,32,8,2048,512,96,1,43,2048,55.984,50.436,5.548,56.266,50.256,6.01,3.2086,2.1308,8.2055,0.027268
20,8,32,8,2048,512,96,1,43,2048,55.844,50.436,5.407,56.914,50.256,6.659,2.3198,1.6181,6.4835,0.02123
21,8,32,8,2048,512,96,1,43,2048,54.406,50.436,3.969,57.627,50.256,7.372,1.923,1.3101,4.8177,0.017293
22,8,32,8,2048,512,96,1,43,2048,56.774,50.436,6.338,57.14,50.256,6.884,2.2287,1.5855,8.0618,0.02025
23,8,32,8,2048,512,96,1,43,2048,54.427,50.436,3.99,56.018,50.256,5.763,2.454,1.5743,5.8662,0.020654
24,8,32,8,2048,512,96,1,43,2048,47.199,50.436,-3.237,50.06,50.256,-0.195,3.4738,2.505,14.5626,0.03139
25,8,32,8,2048,512,96,1,43,2048,50.25,50.436,-0.186,50.835,50.256,0.58,11.8033,7.2987,36.625,0.090954
26,8,32,8,2048,512,96,1,43,2048,45.303,50.436,-5.133,46.748,50.256,-3.507,5.8917,4.6644,29.8139,0.057763
27,8,32,8,2048,512,96,1,43,2048,30.942,50.436,-19.495,33.651,50.256,-16.604,41.3783,36.3793,152.9276,0.46636
28,8,32,8,2048,512,96,1,43,2048,23.79,50.436,-26.646,26.652,50.256,-23.603,222.0892,111.1122,558.4934,1.452856
