winIdx,k_theory,M,Hop,N,K,wLen,Fmin_Hz,Fmax_Hz,sL,SER_DFTQ_ideal,SER_OBBQ_ideal,delta_ideal,SER_DFTQ_fir,SER_OBBQ_fir,delta_fir,blockErr_mean,blockErr_std,blockErr_max,blockErr_trend
9,8,32,8,2048,512,96,1,43,2048,42.2,43.31,-1.11,42.484,45.981,-3.497,74.8424,40.228,165.6183,0.527703
10,8,32,8,2048,512,96,1,43,2048,40.177,43.31,-3.133,41.679,45.981,-4.302,94.4514,50.7083,186.8481,0.678363
11,8,32,8,2048,512,96,1,43,2048,43.643,43.31,0.333,44.797,45.981,-1.184,52.1412,27.6277,108.6715,0.364288
12,8,32,8,2048,512,96,1,43,2048,44.656,43.31,1.346,45.508,45.981,-0.473,35.3249,22.6643,85.61,0.29721
13,8,32,8,2048,512,96,1,43,2048,48.256,43.31,4.946,48.101,45.981,2.12,26.5652,12.783,50.4971,0.164825
14,8,32,8,2048,512,96,1,43,2048,48.747,43.31,5.438,49.134,45.981,3.152,19.5409,10.5788,38.0985,0.137155
15,8,32,8,2048,512,96,1,43,2048,45.119,43.31,1.81,47.854,45.981,1.873,20.9012,12.0762,42.5801,0.160471
16,8,32,8,2048,512,96,1,43,2048,51.579,43.31,8.269,51.779,45.981,5.798,10.2405,5.6458,20.8049,0.072168
17,8,32,8,2048,512,96,1,43,2048,50.954,43.31,7.645,51.44,45.981,5.459,11.3753,5.3875,20.5916,0.071579
18,8,32,8,2048,512,96,1,43,2048,51.21,43.31,7.9,54.211,45.981,8.23,4.8307,2.1472,9.9173,0.026523
19,8,32,8,2048,512,96,1,43,2048,49.967,43.31,6.658,53.551,45.981,7.57,3.9353,2.1632,8.4682,0.028291
20,8,32,8,2048,512,96,1,43,2048,55.76,43.31,12.45,56.826,45.981,10.845,2.1884,1.1749,4.7985,0.01543
21,8,32,8,2048,512,96,1,43,2048,56.624,43.31,13.315,58.464,45.981,12.483,1.5285,0.8585,3.4994,0.01102
22,8,32,8,2048,512,96,1,43,2048,54.694,43.31,11.385,56.065,45.981,10.084,2.4097,1.3981,4.7256,0.017996
23,8,32,8,2048,512,96,1,43,2048,49.745,43.31,6.436,52.843,45.981,6.861,1.9691,1.1516,4.16,0.015025
24,8,32,8,2048,512,96,1,43,2048,56.622,43.31,13.312,57.019,45.981,11.038,2.2519,0.7943,6.8493,0.008463
25,8,32,8,2048,512,96,1,43,2048,30.713,43.31,-12.597,34.608,45.981,-11.373,8.5452,7.0208,29.9733,0.090754
26,8,32,8,2048,512,96,1,43,2048,43.573,43.31,0.263,44.668,45.981,-1.313,28.9149,19.2748,112.1108,0.231134
27,8,32,8,2048,512,96,1,43,2048,37.173,43.31,-6.137,39.824,45.981,-6.157,73.0912,41.2553,240.4803,0.516544
28,8,32,8,2048,512,96,1,43,2048,29.716,43.31,-13.594,30.75,45.981,-15.231,340.0528,235.4066,886.7491,3.046168
