winIdx,k_theory,M,Hop,N,K,wLen,Fmin_Hz,Fmax_Hz,sL,SER_DFTQ_ideal,SER_OBBQ_ideal,delta_ideal,SER_DFTQ_fir,SER_OBBQ_fir,delta_fir,blockErr_mean,blockErr_std,blockErr_max,blockErr_trend
9,8,32,8,2048,512,96,1,43,2048,40.253,45.682,-5.43,41.516,46.09,-4.575,73.1167,37.924,151.4584,0.493201
10,8,32,8,2048,512,96,1,43,2048,40.442,45.682,-5.241,41.532,46.09,-4.559,79.2319,37.3863,159.7111,0.491145
11,8,32,8,2048,512,96,1,43,2048,40.73,45.682,-4.952,43.182,46.09,-2.908,46.1913,23.8582,93.3443,0.312343
12,8,32,8,2048,512,96,1,43,2048,41.584,45.682,-4.099,44.748,46.09,-1.342,31.9431,17.3145,70.8055,0.225006
13,8,32,8,2048,512,96,1,43,2048,41.576,45.682,-4.107,44.756,46.09,-1.334,30.7438,15.8623,62.452,0.207611
14,8,32,8,2048,512,96,1,43,2048,43.157,45.682,-2.525,45.774,46.09,-0.317,27.0642,14.9821,54.7973,0.198364
15,8,32,8,2048,512,96,1,43,2048,42.629,45.682,-3.054,46.26,46.09,0.169,23.9167,11.7335,47.5241,0.155677
16,8,32,8,2048,512,96,1,43,2048,45.004,45.682,-0.679,47.933,46.09,1.842,14.8273,8.3842,34.1219,0.109821
17,8,32,8,2048,512,96,1,43,2048,45.43,45.682,-0.253,49.616,46.09,3.526,9.3023,5.8651,23.1494,0.076277
18,8,32,8,2048,512,96,1,43,2048,46.503,45.682,0.821,49.254,46.09,3.164,7.0816,4.2898,16.8749,0.055393
19,8,32,8,2048,512,96,1,43,2048,51.8,45.682,6.118,53.27,46.09,7.179,6.2019,2.3406,12.5197,0.02834
20,8,32,8,2048,512,96,1,43,2048,53.194,45.682,7.512,54.938,46.09,8.848,3.2452,1.6128,12.7223,0.017671
21,8,32,8,2048,512,96,1,43,2048,54.366,45.682,8.684,54.52,46.09,8.43,5.0116,1.5641,8.8938,0.016042
22,8,32,8,2048,512,96,1,43,2048,51.23,45.682,5.547,53.338,46.09,7.248,1.4151,0.6393,5.2392,0.006452
23,8,32,8,2048,512,96,1,43,2048,53.467,45.682,7.785,54.316,46.09,8.226,3.7448,1.2401,9.6722,0.011869
24,8,32,8,2048,512,96,1,43,2048,47.597,45.682,1.914,49.27,46.09,3.179,11.9873,3.2216,27.1426,0.023165
25,8,32,8,2048,512,96,1,43,2048,44.692,45.682,-0.991,46.895,46.09,0.805,18.133,8.6202,47.791,0.109016
26,8,32,8,2048,512,96,1,43,2048,29.644,45.682,-16.039,32.973,46.09,-13.118,36.8259,21.9109,159.4577,0.266982
27,8,32,8,2048,512,96,1,43,2048,42.401,45.682,-3.282,42.519,46.09,-3.571,67.968,37.0298,153.5074,0.442978
28,8,32,8,2048,512,96,1,43,2048,31.996,45.682,-13.686,34.129,46.09,-11.961,227.7914,143.0474,617.1704,1.891331
