winIdx,k_theory,M,Hop,N,K,wLen,Fmin_Hz,Fmax_Hz,sL,SER_DFTQ_ideal,SER_OBBQ_ideal,delta_ideal,SER_DFTQ_fir,SER_OBBQ_fir,delta_fir,blockErr_mean,blockErr_std,blockErr_max,blockErr_trend
9,8,32,8,2048,512,96,1,43,2048,40.673,48.58,-7.907,43.65,49.056,-5.407,53.7215,30.3522,136.3323,0.389336
10,8,32,8,2048,512,96,1,43,2048,45.578,48.58,-3.003,45.377,49.056,-3.679,47.5491,27.3729,110.018,0.355363
11,8,32,8,2048,512,96,1,43,2048,39.021,48.58,-9.559,42.683,49.056,-6.374,50.0836,27.1109,105.1801,0.357805
12,8,32,8,2048,512,96,1,43,2048,47.899,48.58,-0.681,47.702,49.056,-1.354,30.6464,17.6427,73.1038,0.227825
13,8,32,8,2048,512,96,1,43,2048,49.508,48.58,0.928,49.463,49.056,0.407,20.5835,9.8773,44.3863,0.12137
14,8,32,8,2048,512,96,1,43,2048,49.102,48.58,0.522,49.677,49.056,0.62,15.3352,8.5646,34.7684,0.108704
15,8,32,8,2048,512,96,1,43,2048,45.713,48.58,-2.867,48.049,49.056,-1.008,14.4345,8.2272,35.7458,0.106619
16,8,32,8,2048,512,96,1,43,2048,52.171,48.58,3.591,52.589,49.056,3.532,9.2931,5.5939,21.6848,0.072217
17,8,32,8,2048,512,96,1,43,2048,52.208,48.58,3.627,53.595,49.056,4.539,7.7582,4.4665,18.1868,0.058535
18,8,32,8,2048,512,96,1,43,2048,52.182,48.58,3.602,55.138,49.056,6.081,5.0242,2.482,12.8838,0.031845
19,8,32,8,2048,512,96,1,43,2048,54.191,48.58,5.611,56.393,49.056,7.337,3.0971,1.7274,7.6556,0.02173
20,8,32,8,2048,512,96,1,43,2048,56.047,48.58,7.466,57.475,49.056,8.418,2.4153,1.135,5.3209,0.014071
21,8,32,8,2048,512,96,1,43,2048,49.729,48.58,1.148,52.518,49.056,3.461,3.0968,1.445,6.4286,0.018493
22,8,32,8,2048,512,96,1,43,2048,58.688,48.58,10.107,59.811,49.056,10.754,1.2445,0.652,3.8642,0.007942
23,8,32,8,2048,512,96,1,43,2048,52.354,48.58,3.773,54.343,49.056,5.286,3.2741,1.7862,6.324,0.023092
24,8,32,8,2048,512,96,1,43,2048,60.365,48.58,11.785,60.513,49.056,11.456,1.3258,0.7532,4.0963,0.009086
25,8,32,8,2048,512,96,1,43,2048,52.902,48.58,4.322,52.707,49.056,3.651,3.6635,2.6322,13.028,0.032945
26,8,32,8,2048,512,96,1,43,2048,39.124,48.58,-9.457,41.908,49.056,-7.148,16.2842,9.648,91.0684,0.10568
27,8,32,8,2048,512,96,1,43,2048,30.268,48.58,-18.312,33.78,49.056,-15.277,61.7417,46.5554,216.5614,0.604123
28,8,32,8,2048,512,96,1,43,2048,35.152,48.58,-13.429,39.166,49.056,-9.891,65.9001,54.7199,361.2539,0.644815
