block,sl_cur,norm_vRIX_t_L,norm_vX_m_c,norm_Fwm_bm,norm_residual,blockErr,coherence
0,0,100.55207148472216,100.55207148472218,108.26136120691447,11.460854973238119,131.35119671759693,1.0
1,8,108.85339754776827,88.82940328321278,101.47755665891846,10.46787583233855,109.57642444125747,0.9972278572886677
2,16,79.48794946561897,74.82181299779901,77.61892770056268,7.876792319574653,62.04385724571024,0.9807740260057698
3,24,113.30716057950264,116.20745504917302,105.15323577161973,9.27198784489748,85.9697585959266,0.9772036334689402
4,32,150.05506376027017,168.563750986116,156.60148013492767,9.529323735220869,90.80801085064381,0.9847956360941337
5,40,182.06959340705458,180.83938249626425,175.85550914970256,10.97936674494402,120.54649411998264,0.9943855788516612
6,48,221.74271269018612,144.29370413940018,227.2537044131017,9.752764234352856,95.11641021087226,0.992135774116675
7,56,122.14399276911399,138.87123417523966,119.60036825543742,13.613133516363105,185.3174041343285,0.9940214253290947
8,64,239.29879644034546,249.07852529807687,245.12592530772494,10.106244204711889,102.13617192527263,0.9976703893427439
9,72,382.38006261337034,376.1189791140687,377.83898475033214,7.613201280437623,57.960833736457054,0.9994609088396854
10,80,473.25961936486607,449.47153590938206,468.38074113109553,7.96205219669233,63.39427518285316,0.9976806694457695
11,88,418.97769056944753,443.0944357083257,414.7132885788001,6.704894105312266,44.95560496345117,0.9986517766192761
12,96,357.6417391524377,367.1487853184312,352.86924653947875,8.136820463673564,66.20784725805687,0.9990108048382457
13,104,261.9360634265341,258.13021505237526,265.07108891091315,6.98157578535457,48.742400446649285,0.9999199977743484
14,112,142.2548200421139,162.38708996207868,149.81685240567975,11.963487365727703,143.1250299499264,0.9918151426373054
15,120,162.08578798537965,119.81339091389444,170.83561134353232,11.852602690513821,140.48419053917547,0.9382915966230768
16,128,103.90155091936641,123.13970924372082,111.79042021242054,11.99505970910482,143.88145742498983,0.9787135920197986
17,136,126.82406078535399,126.36040806890215,121.95141436109158,10.654371041025676,113.51562227984655,0.9922983788235743
18,144,170.80257207052844,109.17264150314841,162.86598187833192,12.66590158942796,160.42506307307374,0.9713177934880707
19,152,30.50034521466935,73.66569036025128,29.247229484433827,9.49959856451581,90.24237288695085,0.8782931050716222
20,160,16.427969105377972,31.218128372657716,13.239808574229363,11.067794889660032,122.49608371958472,0.8048288344440703
21,168,32.78546168348393,32.27432978485159,31.884925224839826,7.809893391931165,60.99443479333007,0.9697790639722549
22,176,105.04118191743532,89.87167308336103,96.76421138778926,11.4665107067764,131.48086778861781,0.922086725685493
23,184,143.3824463849022,150.7606738098402,144.64700834135334,8.308914781757792,69.03806485051314,0.9920838899871534
24,192,209.91535797891433,190.9437730778897,204.21881857528106,10.630549792408033,113.00858888886647,0.99794476611722
25,200,214.40278136778963,190.71826106194501,216.3606137774678,8.323043110355153,69.27304661683037,0.9930047523753812
26,208,103.9686944873722,148.75049283771773,106.41652122441025,8.845841431554668,78.24891063220913,0.9727950478499671
27,216,135.32637425917494,89.7469516310106,132.49360401079917,9.429762776694579,88.92042602473465,0.9965699879960526
28,224,83.0279223780234,70.0544586915065,85.7264327139977,11.440596923184879,130.88725795878733,0.9733550694514744
29,232,116.68570776188497,93.25723612676464,106.82040746737536,14.054585917029451,197.53138529916257,0.9209016140520208
30,240,70.94949712747307,101.15117025435728,75.38701956625324,9.953213390503853,99.06645679690521,0.924944772148337
31,248,90.535893214477,84.55321943965325,90.40327146533858,8.047280799065037,64.75872825900082,0.984517091071642
32,256,134.78978275440366,55.39955305510345,133.17108877664288,8.120878884879728,65.94867386288541,0.9717039417913057
33,264,18.052007091243908,27.865587993265336,16.331040688667056,7.786792222615809,60.63413311819004,0.652361531381728
34,272,50.95800851199315,17.739288704579035,45.49980290883709,10.86575264145166,118.06458046521374,0.4504727175072111
35,280,41.379402369811196,39.94158669824432,42.82183853065163,8.67663982085128,75.28407858078214,0.9685276493840036
36,288,82.16704732104306,66.56958479141593,88.05434445768219,13.4973058439768,182.17726504585028,0.9813832383621385
37,296,109.31704455990194,74.10215116557866,111.80597123438254,8.633927363472413,74.54470171771769,0.939052695584427
38,304,29.372463158649715,64.98217186996858,28.656058111551253,8.320928566436658,69.23785220774161,0.9014099022580075
39,312,119.37970344269063,121.87939392838756,120.20178646015911,8.057100544281106,64.91686918065488,0.8416990998963506
40,320,236.96662100484986,227.04486837294502,240.1594168976669,11.940251514612047,142.5696062321953,0.996354015362038
41,328,317.65745610432094,305.1663312253241,317.5792209724557,8.072209188422077,65.1605611816458,0.999275643052745
42,336,303.1274555687211,311.1154740376864,303.37569798745494,8.13389807900749,66.16029795968174,0.9997140334537749
43,344,246.5080836756371,242.72247582031824,237.20187498056418,15.987029779893536,255.58512118320277,0.9997048457284083
44,352,168.57859499687274,141.7561746437556,164.5253208342734,14.536934169578336,211.32245505065418,0.9969302749388171
45,360,76.43335561893538,72.23866993923745,76.92473052478758,9.027037232954688,81.48740120515023,0.9759719534389548
46,368,30.067916573616504,73.59438327435001,28.315456013524372,8.996883991219496,80.94392155146166,0.7911088298311627
47,376,90.52389390675731,113.23866999725209,100.14539390324562,14.233571665400351,202.59456235408774,0.8982953787103491
48,384,177.71250827449077,163.96198166107703,176.32233271809528,9.943401002469397,98.8712234959094,0.9929302702768305
49,392,218.77197829370215,191.58511326824078,218.74775216697756,8.837664911673826,78.10432109103074,0.993910918141811
50,400,148.9839818117316,176.47225364632942,156.34881507675948,14.037034148493339,197.0383276859681,0.9893071746504154
51,408,174.83154149576268,147.28368335132132,175.60817207845827,8.94193158025753,79.95814038600692,0.9831954505033685
52,416,189.26412652924412,196.35546886380686,199.8040769760109,15.69217534935091,246.24436719477634,0.9921203839241354
53,424,306.01256887449233,301.9716468455751,309.42145630157245,10.29147367260308,105.91443035388234,0.9987518222295264
54,432,380.1384374062006,368.94924598720223,374.0121717149015,11.640386067062499,135.49858779026275,0.999141144135523
55,440,316.5428744289255,348.89291611074185,322.04646355266567,12.307899645963088,151.4843936950983,0.9975810268338265
56,448,284.8825908101901,255.48086937431484,278.25694833765067,13.697442813207617,187.619939621093,0.9996492575158947
57,456,198.49925895955965,164.06650117451906,200.33378821300738,15.555954680209375,241.98772601272796,0.8867965934203145
58,464,161.83544746871922,141.12777154125186,164.17093824433354,10.659141303807331,113.61729333453145,0.9914824991275079
59,472,157.38003618425032,146.29909421557647,155.1378061312854,10.90655505622129,118.95294319438618,0.9966516298107184
60,480,171.98460501151573,195.49456992630363,179.28348133497747,14.10842132338462,199.04755223813385,0.9909926991735865
61,488,270.74402264781486,277.8729008756739,268.2390113452169,10.096314424681633,101.93556496203442,0.9995721181463911
62,496,285.441983327093,311.46281116427224,282.79209975935004,10.41002726574211,108.36866767349416,0.9968866493857204
63,504,219.18914655997628,259.3054643794894,221.48567239016262,10.255376810805497,105.17275353160714,0.993437249848336
64,512,191.56917415453398,153.7300657849878,191.56150168044988,9.373834775348406,87.86877839553111,0.9992918905430195
